ano;mes;valor;quilo
2012;1;2442358;2234134
2012;2;2977143;2770228
2012;3;6277329;5483114
2012;4;6748527;5423642
2012;5;5140878;4718660
2012;6;4562818;4304469
2012;7;7459784;7796795
2012;8;10044502;12072721
2012;9;16825249;18087278
2012;10;17137559;16865105
2012;11;17095086;15165623
2012;12;13102793;11963010
2013;1;2864197;2461742
2013;2;2683730;2514454
2013;3;5460459;4780368
2013;4;4434722;3523757
2013;5;5600141;3924419
2013;6;4731219;3056798
2013;7;6000364;4534818
2013;8;8473854;9633677
2013;9;19450082;18991817
2013;10;25556918;22125339
2013;11;23563465;18846019
2013;12;9826420;8078563
2014;1;2666846;2418220
2014;2;2641146;2524554
2014;3;7020142;6618692
2014;4;7360604;6337275
2014;5;5230100;4754441
2014;6;5882411;5574377
2014;7;5836876;5855721
2014;8;8421635;8386551
2014;9;13553317;12086575
2014;10;29132709;24327282
2014;11;32781527;24041576
2014;12;12788827;9883762
2015;1;4749342;4323169
2015;2;4649945;4342064
2015;3;7465168;6817308
2015;4;6731692;6278582
2015;5;7791597;6987058
2015;6;5162245;4776771
2015;7;4640340;4666794
2015;8;12189646;12098751
2015;9;22663280;19637055
2015;10;33884776;28969532
2015;11;27628762;23628973
2015;12;9413496;8990613
2016;1;3069822;2904423
2016;2;4082640;3701153
2016;3;9169121;7644623
2016;4;5647936;4605104
2016;5;3136843;2370844
2016;6;6261820;5213224
2016;7;9464786;8159545
2016;8;15391754;13758435
2016;9;24939715;22690821
2016;10;28725754;25822424
2016;11;24499529;23169922
2016;12;10366336;11025659
2017;1;3060259;3413487
2017;2;5864717;5997587
2017;3;11969780;10769950
2017;4;9423068;7719326
2017;5;8537293;6383091
2017;6;5390124;4470005
2017;7;7655888;6249864
2017;8;15339641;13612494
2017;9;29914006;27257069
2017;10;31203322;29393732
2017;11;30776686;26759177
2017;12;16191605;13845544
2018;1;3358197;3138025
2018;2;5671538;5233089
2018;3;13616968;11831000
2018;4;8571453;7320244
2018;5;6364432;6495433
2018;6;6906520;6844107
2018;7;9344591;8464777
2018;8;8917835;7911301
2018;9;20033598;18483547
2018;10;28573638;29406292
2018;11;24300017;24815592
2018;12;17452460;18072852
2019;1;14096288;13948086
2019;2;6219745;5879850
2019;3;8339279;6478444
2019;4;13339291;11236408
2019;5;12501099;12888483
2019;6;7710744;8345841
2019;7;6540939;6704112
2019;8;13235919;12760196
2019;9;26268903;26226502
2019;10;34313316;34623975
2019;11;26707272;25855359
2019;12;21068492;19729796
2020;1;6477067;5661171
2020;2;5909662;6075195
2020;3;8216349;8501520
2020;4;8460485;9325574
2020;5;7938053;8079420
2020;6;9778880;8934982
2020;7;11623713;10837255
2020;8;19902749;18760430
2020;9;33302153;31640125
2020;10;36760802;36320059
2020;11;42665899;40895032
2020;12;27720122;27153708
2021;1;5751685;5896050
2021;2;6650395;6331856
2021;3;10530157;9147834
2021;4;17570802;16264157
2021;5;16559625;16473433
2021;6;14817547;16195093
2021;7;8930264;10347490
2021;8;17967531;20162952
2021;9;34686750;38924737
2021;10;33803146;38918316
2021;11;36032860;42630498
2021;12;21098583;24444233
2022;1;4876631;5746651
2022;2;7216802;7994384
2022;3;9211667;10031145
2022;4;14170643;15859474
2022;5;7381323;7775100
2022;6;10946168;11349133
2022;7;11407782;11441189
2022;8;12224737;12214718
2022;9;26283920;30630010
2022;10;26543551;32092452
2022;11;24427403;28514968
2022;12;31946269;37181046
2023;1;6344742;7715213
2023;2;6685415;7191058
2023;3;11822180;12747060
2023;4;8124851;8095781
2023;5;12737080;12537019
2023;6;15875752;16554097
