produto;regiao;ano;semana;preco
Palmer - produtor;Vale do Sao Francisco;2012;1;1
Palmer - produtor;Vale do Sao Francisco;2012;2;1
Palmer - produtor;Vale do Sao Francisco;2012;3;0.95
Palmer - produtor;Vale do Sao Francisco;2012;4;0.9
Palmer - produtor;Vale do Sao Francisco;2012;5;0.87
Palmer - produtor;Vale do Sao Francisco;2012;6;0.8
Palmer - produtor;Vale do Sao Francisco;2012;7;0.9
Palmer - produtor;Vale do Sao Francisco;2012;8;1
Palmer - produtor;Vale do Sao Francisco;2012;9;1.11
Palmer - produtor;Vale do Sao Francisco;2012;10;1.43
Palmer - produtor;Vale do Sao Francisco;2012;11;1.46
Palmer - produtor;Vale do Sao Francisco;2012;12;1.53
Palmer - produtor;Vale do Sao Francisco;2012;13;1.58
Palmer - produtor;Vale do Sao Francisco;2012;14;1.54
Palmer - produtor;Vale do Sao Francisco;2012;15;1.39
Palmer - produtor;Vale do Sao Francisco;2012;16;1.02
Palmer - produtor;Vale do Sao Francisco;2012;17;0.97
Palmer - produtor;Vale do Sao Francisco;2012;18;1.02
Palmer - produtor;Vale do Sao Francisco;2012;19;1.12
Palmer - produtor;Vale do Sao Francisco;2012;20;1.14
Palmer - produtor;Vale do Sao Francisco;2012;21;1.13
Palmer - produtor;Vale do Sao Francisco;2012;22;1.04
Palmer - produtor;Vale do Sao Francisco;2012;23;1.12
Palmer - produtor;Vale do Sao Francisco;2012;24;1.22
Palmer - produtor;Vale do Sao Francisco;2012;25;1.19
Palmer - produtor;Vale do Sao Francisco;2012;26;1.29
Palmer - produtor;Vale do Sao Francisco;2012;27;1.38
Palmer - produtor;Vale do Sao Francisco;2012;28;1.3
Palmer - produtor;Vale do Sao Francisco;2012;29;1.38
Palmer - produtor;Vale do Sao Francisco;2012;30;1.3
Palmer - produtor;Vale do Sao Francisco;2012;31;1.43
Palmer - produtor;Vale do Sao Francisco;2012;32;1.46
Palmer - produtor;Vale do Sao Francisco;2012;33;1.44
Palmer - produtor;Vale do Sao Francisco;2012;34;1.42
Palmer - produtor;Vale do Sao Francisco;2012;35;1.46
Palmer - produtor;Vale do Sao Francisco;2012;36;1.38
Palmer - produtor;Vale do Sao Francisco;2012;37;1.36
Palmer - produtor;Vale do Sao Francisco;2012;38;1.24
Palmer - produtor;Vale do Sao Francisco;2012;39;1.22
Palmer - produtor;Vale do Sao Francisco;2012;40;1.24
Palmer - produtor;Vale do Sao Francisco;2012;41;1.19
Palmer - produtor;Vale do Sao Francisco;2012;42;1.27
Palmer - produtor;Vale do Sao Francisco;2012;43;1.29
Palmer - produtor;Vale do Sao Francisco;2012;44;1.35
Palmer - produtor;Vale do Sao Francisco;2012;45;1.33
Palmer - produtor;Vale do Sao Francisco;2012;46;1.35
Palmer - produtor;Vale do Sao Francisco;2012;47;1.33
Palmer - produtor;Vale do Sao Francisco;2012;48;1.27
Palmer - produtor;Vale do Sao Francisco;2012;49;1.3
Palmer - produtor;Vale do Sao Francisco;2012;50;1.3
Palmer - produtor;Vale do Sao Francisco;2012;51;1.2
Palmer - produtor;Vale do Sao Francisco;2012;52;1.16
Palmer - produtor;Vale do Sao Francisco;2013;1;1.16
Palmer - produtor;Vale do Sao Francisco;2013;2;0.98
Palmer - produtor;Vale do Sao Francisco;2013;3;1.08
Palmer - produtor;Vale do Sao Francisco;2013;4;1.13
Palmer - produtor;Vale do Sao Francisco;2013;5;1.16
Palmer - produtor;Vale do Sao Francisco;2013;6;1.17
Palmer - produtor;Vale do Sao Francisco;2013;7;1.17
Palmer - produtor;Vale do Sao Francisco;2013;8;1.18
Palmer - produtor;Vale do Sao Francisco;2013;9;1.3
Palmer - produtor;Vale do Sao Francisco;2013;10;1.19
Palmer - produtor;Vale do Sao Francisco;2013;11;1.27
Palmer - produtor;Vale do Sao Francisco;2013;12;1.48
Palmer - produtor;Vale do Sao Francisco;2013;13;1.48
Palmer - produtor;Vale do Sao Francisco;2013;14;1.63
Palmer - produtor;Vale do Sao Francisco;2013;15;1.79
Palmer - produtor;Vale do Sao Francisco;2013;16;1.87
Palmer - produtor;Vale do Sao Francisco;2013;17;1.93
Palmer - produtor;Vale do Sao Francisco;2013;18;1.92
Palmer - produtor;Vale do Sao Francisco;2013;19;1.95
Palmer - produtor;Vale do Sao Francisco;2013;20;2.03
Palmer - produtor;Vale do Sao Francisco;2013;21;2.19
Palmer - produtor;Vale do Sao Francisco;2013;22;2.24
Palmer - produtor;Vale do Sao Francisco;2013;23;2.41
Palmer - produtor;Vale do Sao Francisco;2013;24;2.45
Palmer - produtor;Vale do Sao Francisco;2013;25;2.23
Palmer - produtor;Vale do Sao Francisco;2013;26;2.17
Palmer - produtor;Vale do Sao Francisco;2013;27;2.2
Palmer - produtor;Vale do Sao Francisco;2013;28;2.18
Palmer - produtor;Vale do Sao Francisco;2013;29;2.2
Palmer - produtor;Vale do Sao Francisco;2013;30;2.1
Palmer - produtor;Vale do Sao Francisco;2013;31;2.11
Palmer - produtor;Vale do Sao Francisco;2013;32;2.3
Palmer - produtor;Vale do Sao Francisco;2013;33;2.18
Palmer - produtor;Vale do Sao Francisco;2013;34;2.01
Palmer - produtor;Vale do Sao Francisco;2013;35;1.79
Palmer - produtor;Vale do Sao Francisco;2013;36;1.75
Palmer - produtor;Vale do Sao Francisco;2013;37;1.79
Palmer - produtor;Vale do Sao Francisco;2013;38;1.9
Palmer - produtor;Vale do Sao Francisco;2013;39;1.88
Palmer - produtor;Vale do Sao Francisco;2013;40;1.85
Palmer - produtor;Vale do Sao Francisco;2013;41;1.85
Palmer - produtor;Vale do Sao Francisco;2013;42;1.72
