;Nível Territorial (Código);Nível Territorial;Unidade de Medida (Código);Unidade de Medida;Valor;Brasil (Código);Brasil;Variável (Código);Variável;Trimestre Móvel (Código);Trimestre Móvel
2;1;Brasil;1572;Mil pessoas;197074;1;Brasil;606;População;201203;jan-fev-mar 2012
3;1;Brasil;1572;Mil pessoas;197217;1;Brasil;606;População;201204;fev-mar-abr 2012
4;1;Brasil;1572;Mil pessoas;197359;1;Brasil;606;População;201205;mar-abr-mai 2012
5;1;Brasil;1572;Mil pessoas;197502;1;Brasil;606;População;201206;abr-mai-jun 2012
6;1;Brasil;1572;Mil pessoas;197645;1;Brasil;606;População;201207;mai-jun-jul 2012
7;1;Brasil;1572;Mil pessoas;197788;1;Brasil;606;População;201208;jun-jul-ago 2012
8;1;Brasil;1572;Mil pessoas;197931;1;Brasil;606;População;201209;jul-ago-set 2012
9;1;Brasil;1572;Mil pessoas;198074;1;Brasil;606;População;201210;ago-set-out 2012
10;1;Brasil;1572;Mil pessoas;198217;1;Brasil;606;População;201211;set-out-nov 2012
11;1;Brasil;1572;Mil pessoas;198360;1;Brasil;606;População;201212;out-nov-dez 2012
12;1;Brasil;1572;Mil pessoas;198503;1;Brasil;606;População;201301;nov-dez-jan 2013
13;1;Brasil;1572;Mil pessoas;198646;1;Brasil;606;População;201302;dez-jan-fev 2013
14;1;Brasil;1572;Mil pessoas;198789;1;Brasil;606;População;201303;jan-fev-mar 2013
15;1;Brasil;1572;Mil pessoas;198932;1;Brasil;606;População;201304;fev-mar-abr 2013
16;1;Brasil;1572;Mil pessoas;199075;1;Brasil;606;População;201305;mar-abr-mai 2013
17;1;Brasil;1572;Mil pessoas;199217;1;Brasil;606;População;201306;abr-mai-jun 2013
18;1;Brasil;1572;Mil pessoas;199360;1;Brasil;606;População;201307;mai-jun-jul 2013
19;1;Brasil;1572;Mil pessoas;199503;1;Brasil;606;População;201308;jun-jul-ago 2013
20;1;Brasil;1572;Mil pessoas;199646;1;Brasil;606;População;201309;jul-ago-set 2013
21;1;Brasil;1572;Mil pessoas;199789;1;Brasil;606;População;201310;ago-set-out 2013
22;1;Brasil;1572;Mil pessoas;199931;1;Brasil;606;População;201311;set-out-nov 2013
23;1;Brasil;1572;Mil pessoas;200074;1;Brasil;606;População;201312;out-nov-dez 2013
24;1;Brasil;1572;Mil pessoas;200217;1;Brasil;606;População;201401;nov-dez-jan 2014
25;1;Brasil;1572;Mil pessoas;200359;1;Brasil;606;População;201402;dez-jan-fev 2014
26;1;Brasil;1572;Mil pessoas;200502;1;Brasil;606;População;201403;jan-fev-mar 2014
27;1;Brasil;1572;Mil pessoas;200645;1;Brasil;606;População;201404;fev-mar-abr 2014
28;1;Brasil;1572;Mil pessoas;200787;1;Brasil;606;População;201405;mar-abr-mai 2014
29;1;Brasil;1572;Mil pessoas;200929;1;Brasil;606;População;201406;abr-mai-jun 2014
30;1;Brasil;1572;Mil pessoas;201072;1;Brasil;606;População;201407;mai-jun-jul 2014
31;1;Brasil;1572;Mil pessoas;201214;1;Brasil;606;População;201408;jun-jul-ago 2014
32;1;Brasil;1572;Mil pessoas;201357;1;Brasil;606;População;201409;jul-ago-set 2014
33;1;Brasil;1572;Mil pessoas;201499;1;Brasil;606;População;201410;ago-set-out 2014
34;1;Brasil;1572;Mil pessoas;201641;1;Brasil;606;População;201411;set-out-nov 2014
35;1;Brasil;1572;Mil pessoas;201783;1;Brasil;606;População;201412;out-nov-dez 2014
36;1;Brasil;1572;Mil pessoas;201925;1;Brasil;606;População;201501;nov-dez-jan 2015
37;1;Brasil;1572;Mil pessoas;202067;1;Brasil;606;População;201502;dez-jan-fev 2015
38;1;Brasil;1572;Mil pessoas;202209;1;Brasil;606;População;201503;jan-fev-mar 2015
39;1;Brasil;1572;Mil pessoas;202351;1;Brasil;606;População;201504;fev-mar-abr 2015
40;1;Brasil;1572;Mil pessoas;202492;1;Brasil;606;População;201505;mar-abr-mai 2015
41;1;Brasil;1572;Mil pessoas;202634;1;Brasil;606;População;201506;abr-mai-jun 2015
42;1;Brasil;1572;Mil pessoas;202775;1;Brasil;606;População;201507;mai-jun-jul 2015
43;1;Brasil;1572;Mil pessoas;202917;1;Brasil;606;População;201508;jun-jul-ago 2015
44;1;Brasil;1572;Mil pessoas;203058;1;Brasil;606;População;201509;jul-ago-set 2015
45;1;Brasil;1572;Mil pessoas;203199;1;Brasil;606;População;201510;ago-set-out 2015
46;1;Brasil;1572;Mil pessoas;203340;1;Brasil;606;População;201511;set-out-nov 2015
47;1;Brasil;1572;Mil pessoas;203482;1;Brasil;606;População;201512;out-nov-dez 2015
48;1;Brasil;1572;Mil pessoas;203622;1;Brasil;606;População;201601;nov-dez-jan 2016
49;1;Brasil;1572;Mil pessoas;203763;1;Brasil;606;População;201602;dez-jan-fev 2016
50;1;Brasil;1572;Mil pessoas;203904;1;Brasil;606;População;201603;jan-fev-mar 2016
51;1;Brasil;1572;Mil pessoas;204045;1;Brasil;606;População;201604;fev-mar-abr 2016
52;1;Brasil;1572;Mil pessoas;204185;1;Brasil;606;População;201605;mar-abr-mai 2016
53;1;Brasil;1572;Mil pessoas;204325;1;Brasil;606;População;201606;abr-mai-jun 2016
54;1;Brasil;1572;Mil pessoas;204466;1;Brasil;606;População;201607;mai-jun-jul 2016
