Tabela 6320 - Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência - Total, coeficiente de variação, variações percentuais e absolutas em relação aos três trimestres móveis anteriores e ao mesmo trimestre móvel do ano anterior, e média anual - por posição na ocupação e categoria do emprego no trabalho principal;;;;;;;
Variável - Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência (Mil pessoas);;;;;;;
Brasil;;;;;;;
Trimestre Móvel;Posição na ocupação e categoria do emprego no trabalho principal;;;;;;
;Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada;Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada;Trabalhador doméstico;Empregado no setor público;Empregador;Conta própria;Trabalhador familiar auxiliar
jan-fev-mar 2012;34262;11122;5954;10767;3388;20174;2346
fev-mar-abr 2012;34574;11180;5948;10884;3492;20205;2562
mar-abr-mai 2012;34759;11244;5999;10925;3505;20165;2781
abr-mai-jun 2012;35004;11265;5999;11031;3495;19930;2922
mai-jun-jul 2012;35120;11293;5991;11119;3502;19843;2918
jun-jul-ago 2012;35296;11322;5995;11205;3535;19837;2896
jul-ago-set 2012;35477;11432;5990;11159;3540;19883;2839
ago-set-out 2012;35626;11431;5956;11127;3543;20020;2763
set-out-nov 2012;35669;11384;5963;11040;3604;20120;2776
out-nov-dez 2012;35880;11153;5995;10904;3632;20228;2801
nov-dez-jan 2013;35945;11057;6000;10690;3628;20176;2788
dez-jan-fev 2013;35931;11018;5957;10622;3611;20018;2744
jan-fev-mar 2013;35645;11035;5925;10658;3606;20083;2736
fev-mar-abr 2013;35706;11017;5935;10861;3662;20150;2756
mar-abr-mai 2013;35943;11007;5936;10908;3619;20355;2779
abr-mai-jun 2013;36059;11052;5824;11048;3672;20421;2774
mai-jun-jul 2013;36290;10969;5816;11095;3688;20512;2733
jun-jul-ago 2013;36400;11098;5733;11127;3684;20522;2668
jul-ago-set 2013;36571;11104;5807;11090;3653;20587;2627
ago-set-out 2013;36819;11036;5806;11093;3689;20543;2620
set-out-nov 2013;36959;11007;5851;11089;3762;20661;2671
out-nov-dez 2013;37062;10915;5835;10994;3738;20885;2741
nov-dez-jan 2014;37067;10810;5815;10865;3657;20921;2734
dez-jan-fev 2014;37226;10668;5807;10839;3634;20813;2712
jan-fev-mar 2014;37333;10626;5774;10956;3651;20533;2583
fev-mar-abr 2014;37539;10564;5780;11121;3632;20494;2568
mar-abr-mai 2014;37563;10532;5794;11196;3602;20669;2535
abr-mai-jun 2014;37765;10477;5849;11132;3650;20656;2589
mai-jun-jul 2014;37594;10431;5850;11190;3623;20800;2568
jun-jul-ago 2014;37555;10372;5800;11269;3699;20790;2571
jul-ago-set 2014;37601;10419;5827;11327;3678;21031;2523
ago-set-out 2014;37518;10571;5827;11421;3752;21114;2489
set-out-nov 2014;37562;10636;5830;11391;3810;21184;2465
out-nov-dez 2014;37529;10658;5800;11329;3845;21283;2517
nov-dez-jan 2015;37542;10565;5820;11147;3846;21248;2575
dez-jan-fev 2015;37288;10391;5856;11061;3871;21224;2617
jan-fev-mar 2015;37051;10218;5837;11031;3966;21244;2615
fev-mar-abr 2015;37068;10191;5806;11159;3932;21404;2614
mar-abr-mai 2015;36979;10248;5800;11138;3867;21521;2594
abr-mai-jun 2015;36926;10249;5821;11156;3894;21562;2641
mai-jun-jul 2015;36746;10241;5869;11191;3915;21612;2657
jun-jul-ago 2015;36546;10264;5861;11261;3964;21641;2636
jul-ago-set 2015;36456;10354;5842;11271;3969;21726;2582
ago-set-out 2015;36404;10376;5968;11236;3959;21962;2481
set-out-nov 2015;36455;10276;6047;11116;3923;22119;2353
out-nov-dez 2015;36422;10210;6105;11056;3887;22420;2265
nov-dez-jan 2016;36199;9956;6071;10936;3785;22637;2220
dez-jan-fev 2016;35887;9886;6048;10780;3696;22814;2194
jan-fev-mar 2016;35577;9904;6063;10693;3628;22719;2125
fev-mar-abr 2016;35392;10119;6050;10787;3642;22484;2075
mar-abr-mai 2016;35284;10212;6101;10884;3682;22474;2072
abr-mai-jun 2016;35269;10233;6057;11004;3628;22412;2070
mai-jun-jul 2016;35159;10307;6002;10953;3735;22131;2042
jun-jul-ago 2016;35014;10375;5953;11087;3860;21765;2026
jul-ago-set 2016;34938;10434;5959;11072;4004;21417;1997
ago-set-out 2016;34866;10538;5974;11131;4049;21319;2006
set-out-nov 2016;34865;10610;5916;11142;4093;21493;2031
out-nov-dez 2016;34792;10676;5947;10964;4070;21685;2040
nov-dez-jan 2017;34632;10545;5888;10700;4113;21774;2094
dez-jan-fev 2017;34493;10383;5876;10552;4043;21766;2126
jan-fev-mar 2017;34204;10301;5873;10586;4048;21716;2117
fev-mar-abr 2017;34072;10393;5931;10731;4043;21885;2105
mar-abr-mai 2017;34031;10620;5959;10883;4047;21985;2098
abr-mai-jun 2017;34129;10775;5928;11028;4119;22108;2106
mai-jun-jul 2017;34115;10872;5903;11157;4163;22221;2154
jun-jul-ago 2017;34215;10912;5930;11182;4132;22442;2188
jul-ago-set 2017;34126;11087;5989;11206;4163;22503;2194
ago-set-out 2017;34185;11158;6068;11248;4232;22567;2143
set-out-nov 2017;34128;11358;6130;11270;4330;22643;2166
out-nov-dez 2017;34243;11319;6168;11193;4335;22819;2151
nov-dez-jan 2018;34238;11196;6130;11033;4292;22794;2175
dez-jan-fev 2018;34102;10982;6096;10927;4277;22765;2163
jan-fev-mar 2018;33895;10954;6013;10963;4287;22605;2162
fev-mar-abr 2018;33739;11175;5974;11093;4281;22669;2119
mar-abr-mai 2018;33765;11341;5945;11206;4271;22573;2076
abr-mai-jun 2018;33809;11249;6038;11324;4284;22675;2084
mai-jun-jul 2018;33986;11347;6082;11377;4309;22721;2084
jun-jul-ago 2018;34007;11446;6116;11446;4336;22886;2132
jul-ago-set 2018;34020;11769;6080;11464;4341;23094;2162
ago-set-out 2018;34035;11903;6072;11457;4430;23237;2186
set-out-nov 2018;34099;11967;6057;11499;4393;23445;2155
out-nov-dez 2018;34189;11826;6066;11376;4450;23512;2116
nov-dez-jan 2019;34100;11580;6033;11229;4437;23559;2112
dez-jan-fev 2019;34203;11399;5968;11055;4454;23463;2101
jan-fev-mar 2019;34133;11466;5918;11131;4367;23483;2124
fev-mar-abr 2019;34372;11584;5967;11241;4317;23638;2100
mar-abr-mai 2019;34436;11757;6013;11321;4356;23760;2117
abr-mai-jun 2019;34430;11883;6080;11435;4308;23866;2156
mai-jun-jul 2019;34354;12042;6102;11497;4265;23952;2183
jun-jul-ago 2019;34299;12178;6116;11459;4284;24024;2150
jul-ago-set 2019;34342;12214;6116;11483;4308;24191;2083
ago-set-out 2019;34503;12252;6147;11471;4404;24196;2069
set-out-nov 2019;34701;12213;6182;11485;4433;24378;2018
