Ano;bloco;quilo
2023;Europa;197063386
2023;America do Norte;58055027
2023;America do Sul;7991805
2023;Asia;1862406
2023;Africa;584578
2023;Oriente Medio;406554
2022;Europa;174407560
2022;America do Norte;47590967
2022;America do Sul;8135618
2022;Asia;691118
2022;Oriente Medio;297856
2022;Africa;89266
2021;Europa;203022288
2021;America do Norte;59940769
2021;America do Sul;7825182
2021;Asia;773440
2021;Oriente Medio;714202
2021;Africa;208443
2020;Europa;181421084
2020;America do Norte;56620258
2020;America do Sul;3939498
2020;Asia;609055
2020;Oriente Medio;386170
2020;Africa;106433
2019;Europa;166049450
2019;America do Norte;44975346
2019;America do Sul;3045834
2019;Oriente Medio;663114
2019;Africa;545785
2019;Asia;482846
2018;Europa;126942626
2018;America do Norte;38438255
2018;America do Sul;3340595
2018;Africa;738034
2018;Asia;587108
2018;Oriente Medio;355813
2017;Europa;134887887
2017;America do Norte;39764803
2017;America do Sul;3589996
2017;Africa;670628
2017;Asia;469032
2017;Oriente Medio;133098
2016;Europa;116048531
2016;America do Norte;33482867
2016;America do Sul;2440080
2016;Africa;1239399
2016;Oriente Medio;621620
2016;Asia;291476
2015;Europa;113588371
2015;America do Norte;38369622
2015;America do Sul;2571788
2015;Africa;1179917
2015;Oriente Medio;312657
2015;Asia;239706
