Ano;bloco;quilo
2023;Europa;403377
2023;América do Norte;55946
2023;Ásia (Exclusive Oriente Médio);4382
2023;América Central e Caribe;4364
2023;América do Sul;2366
2023;Oceania;1514
2022;Europa;437373
2022;América do Norte;50072
2022;Ásia (Exclusive Oriente Médio);7203
2022;América do Sul;4105
2022;América Central e Caribe;2171
2022;Oceania;1566
2021;Europa;380503
2021;América do Norte;61174
2021;Ásia (Exclusive Oriente Médio);2052
2021;América Central e Caribe;1655
2021;Oceania;1433
2021;América do Sul;25
2020;Europa;178590
2020;América do Norte;45567
2020;América do Sul;3355
2020;Ásia (Exclusive Oriente Médio);1981
2020;Oceania;1769
2020;América Central e Caribe;1497
2019;Europa;170607
2019;América do Norte;16025
2019;América do Sul;2476
2019;Ásia (Exclusive Oriente Médio);2210
2019;Oceania;1669
2019;América Central e Caribe;1524
2018;Europa;152691
2018;América do Norte;11311
2018;Oceania;1261
2018;Ásia (Exclusive Oriente Médio);525
2018;América do Sul;365
2018;América Central e Caribe;258
2017;Europa;137819
2017;América do Norte;4032
2017;Oceania;840
2016;Europa;162918
2016;América do Norte;8850
2016;Oceania;70
2015;Europa;187751
2015;América do Norte;13995
