Ano;bloco;quilo
2023;Europa;217827751
2023;América do Norte;6072077
2023;América do Sul;2151429
2023;Oriente Médio;1850368
2023;África;57745
2023;Ásia (Exclusive Oriente Médio);56633
2022;Europa;210854053
2022;América do Norte;7056465
2022;América do Sul;2502707
2022;Oriente Médio;1737306
2022;Ásia (Exclusive Oriente Médio);65989
2022;África;39330
2021;Europa;243818048
2021;América do Norte;9371324
2021;América do Sul;3225565
2021;Oriente Médio;1259733
2021;Ásia (Exclusive Oriente Médio);96902
2021;África;37417
2020;Europa;224157447
2020;América do Norte;7590397
2020;América do Sul;2567576
2020;Oriente Médio;1592249
2020;Ásia (Exclusive Oriente Médio);209986
2020;África;39563
2019;Europa;243144618
2019;América do Norte;4279517
2019;Oriente Médio;2899508
2019;América do Sul;1153876
2019;Ásia (Exclusive Oriente Médio);54546
2019;África;32130
2018;Europa;191509412
2018;América do Norte;2444306
2018;Oriente Médio;2419688
2018;América do Sul;1212516
2018;Ásia (Exclusive Oriente Médio);12275
2018;África;4832
2017;Europa;224948552
2017;América do Norte;3435261
2017;Oriente Médio;3115728
2017;América do Sul;2153117
2016;Europa;216513321
2016;América do Norte;3836073
2016;Oriente Médio;2568313
2016;América do Sul;1770201
2016;Ásia (Exclusive Oriente Médio);540
2015;Europa;217561333
2015;América do Norte;2576346
2015;Oriente Médio;2265226
2015;América do Sul;1279532
