Ano;Valor (Mil US$);Toneladas
2004;55430143;95607547
2005;65496227;100881380
2006;77176479;100908272
2007;76121104;101822206
2008;101085566;117466668
2009;77340054;92510460
2010;98924057;108149875
2011;114689761;105589071
2012;109814026;106884779
2013;118645571;102471771
2014;133316140;112809026
2015;146970289;131516670
2016;144756056;131066177
2017;175326389;155871326
2018;153111247;148016259
2019;190341287;184677052
2020;218755934;212184471
2021;224399345;245736649
2022;186636896;210830270
2023;291500622;246871810
