Ano;Valor FOB (US$);Quilograma Liquido
2004;63243289;142573084
2005;91443793;179766239
2006;88241589;172819651
2007;128213642;204501757
2008;152132031;211789635
2009;122051874;183831028
2010;121953462;177808085
2011;128223977;169406322
2012;134002206;181552198
2013;147579929;191412600
2014;151417656;196361226
2015;154269849;223682437
2016;148741509;224688448
2017;162916224;233652658
2018;136012579;197617072
2019;160307950;251639100
2020;147934586;236259321
2021;165078655;257902947
2022;156381340;222354964
2023;189097459;228166973
