mes;pe_uva
jan/12;0.0745
fev/12;0.0692
mar/12;0.0688
abr/12;0.0706
mai/12;0.0757
jun/12;0.0696
jul/12;0.0709
ago/12;0.0723
set/12;0.0741
out/12;0.0744
nov/12;0.0769
dez/12;0.079
jan/13;0.0746
fev/13;0.0736
mar/13;0.07
abr/13;0.0745
mai/13;0.0782
jun/13;0.0796
jul/13;0.0784
ago/13;0.0786
set/13;0.0808
out/13;0.0831
nov/13;0.0823
dez/13;0.0836
jan/14;0.0851
fev/14;0.0829
mar/14;0.0841
abr/14;0.0864
mai/14;0.0881
jun/14;0.0875
jul/14;0.0831
ago/14;0.0816
set/14;0.0786
out/14;0.0813
nov/14;0.0864
dez/14;0.088
jan/15;0.0845
fev/15;0.0857
mar/15;0.08
abr/15;0.0796
mai/15;0.0814
jun/15;0.0824
jul/15;0.0858
ago/15;0.0864
set/15;0.0864
out/15;0.0857
nov/15;0.0868
dez/15;0.0888
jan/16;0.0826
fev/16;0.0814
mar/16;0.0873
abr/16;0.1047
mai/16;0.1097
jun/16;0.1039
jul/16;0.0934
ago/16;0.0866
set/16;0.088
out/16;0.0871
nov/16;0.0893
dez/16;0.0959
jan/17;0.0913
fev/17;0.0867
mar/17;0.083
abr/17;0.0859
mai/17;0.0874
jun/17;0.0858
jul/17;0.0834
ago/17;0.0821
set/17;0.0802
out/17;0.0834
nov/17;0.0815
dez/17;0.0847
jan/18;0.0769
fev/18;0.0785
mar/18;0.0749
abr/18;0.0799
mai/18;0.0802
jun/18;0.0792
jul/18;0.0779
ago/18;0.0765
set/18;0.0766
out/18;0.0802
nov/18;0.0799
dez/18;0.0799
jan/19;0.0832
fev/19;0.0858
mar/19;0.0836
abr/19;0.0812
mai/19;0.0813
jun/19;0.0796
jul/19;0.0775
ago/19;0.0831
set/19;0.0856
out/19;0.0802
nov/19;0.0819
dez/19;0.0843
jan/20;0.0753
fev/20;0.0773
mar/20;0.0728
abr/20;0.0739
mai/20;0.078
jun/20;0.0765
jul/20;0.0778
ago/20;0.079
set/20;0.079
out/20;0.0776
nov/20;0.0793
dez/20;0.0831
jan/21;0.0828
fev/21;0.0818
mar/21;0.0828
abr/21;0.0842
mai/21;0.0809
jun/21;0.0761
jul/21;0.0758
ago/21;0.0738
set/21;0.0738
out/21;0.0756
nov/21;0.0739
dez/21;0.0721
jan/22;0.0737
fev/22;0.0739
mar/22;0.0752
abr/22;0.0812
mai/22;0.0813
jun/22;0.0777
jul/22;0.0736
ago/22;0.0732
set/22;0.0764
out/22;0.0799
nov/22;0.0826
dez/22;0.0821
jan/23;0.0792
fev/23;0.0787
mar/23;0.078
abr/23;0.0836
mai/23;0.0865
jun/23;0.0821
jul/23;0.0774
ago/23;0.078
set/23;0.0788
out/23;0.0801
nov/23;0.0818
dez/23;0.0829
jan/24;0.0844
fev/24;0.0888
mar/24;0.0887
abr/24;0.0896
mai/24;0.0891
jun/24;0.0886
jul/24;0.0882
ago/24;0.0884
set/24;0.0868
out/24;0.0856
nov/24;0.0862
dez/24;0.0867
jan/25;0.0883
fev/25;0.0884
mar/25;0.086
abr/25;0.0866
mai/25;0.0866
jun/25;0.0857
jul/25;0.0829
