ano;mes;valor;quilo
2016;1;305026;142724
2016;2;34116;10912
2016;3;90326;37000
2016;4;245457;72364
2016;5;1983429;761927
2016;6;1588698;620129
2016;7;328628;153725
2016;8;288780;141554
2016;9;7953515;3911459
2016;10;32102422;15533914
2016;11;17780602;8202376
2016;12;2554130;1225093
2017;1;839652;397741
2017;2;234465;95492
2017;3;841956;348339
2017;4;4119510;1699974
2017;5;4504184;1999352
2017;6;1110652;448887
2017;7;507846;251193
2017;8;1198735;609030
2017;9;11014051;5216575
2017;10;35605951;16867765
2017;11;32483843;15016179
2017;12;3746453;1542914
2018;1;245163;83287
2018;2;306946;99568
2018;3;1338324;588759
2018;4;2521154;1105050
2018;5;2943560;1324829
2018;6;1130227;481286
2018;7;436513;241540
2018;8;930717;533384
2018;9;9473437;4059650
2018;10;35214241;14843757
2018;11;27418822;12377831
2018;12;9883230;4102581
2019;1;8202490;3659848
2019;2;1976053;731870
2019;3;2002845;758269
2019;4;5297604;2246002
2019;5;5303857;2441658
2019;6;2216611;1154048
2019;7;416040;182401
2019;8;327251;167489
2019;9;4670200;2363130
2019;10;30776095;15560769
2019;11;21814243;10820971
2019;12;10429277;4967674
2020;1;2139703;842286
2020;2;901522;370505
2020;3;4639980;1668073
2020;4;6363319;2681028
2020;5;6930819;3410017
2020;6;2717715;1365604
2020;7;755713;414864
2020;8;926248;504963
2020;9;7452420;3381908
2020;10;30695907;14154078
2020;11;33681449;14911842
2020;12;11787514;5522846
2021;1;2339723;950377
2021;2;2954490;1164741
2021;3;9915032;3789304
2021;4;12008070;4806738
2021;5;15317160;7117348
2021;6;7503588;3915322
2021;7;1165306;804318
2021;8;1425817;879033
2021;9;4034578;1992966
2021;10;40061695;19849902
2021;11;45215424;21976403
2021;12;17626040;9362937
2022;01;2846322;1124422
2022;02;2007501;720684
2022;03;1717596;603040
2022;04;5172942;2446674
2022;05;8451387;4048550
2022;06;576139;3013005
2022;07;937112;464708
2022;08;1670294;842925
2022;09;5259902;2279260
2022;10;25888163;11472522
2022;11;34238534;16261567
2022;12;19969637;9283810
2023;1;3249840;1401729
2023;2;651420;190518
2023;3;2832887;888816
2023;4;9048542;3693915
2023;5;19883354;7901716
2023;6;3838414;1801423
2023;7;1637215;748406
2023;8;1897225;750664
2023;9;10044622;3387653
2023;10;39821701;14983331
2023;11;65907398;26573970
2023;12;25576271;10889702
2024;01;5360593;1753933
2024;02;2404339;800937
2024;03;2125761;605828
2024;04;2057112;761110
2024;05;1377428;460003
2024;06;1549077;609592
2024;07;1242625;538224
2024;08;2107991;828039
2024;09;10369575;3170806
2024;10;49114281;17011639
2024;11;44834782;17161374
2024;12;36216005;15156405
2025;1;5191635;2061948
2025;2;900786;322271
2025;3;1374219;480091
2025;4;3733713;1383482
2025;5;8229904;3086598
2025;6;8081191;3026187
2025;7;2349162;1214360
2025;8;1693649;847399
