Ano;bloco;quilo
2024;Europa;39691174
2024;America do Norte;15026746
2024;America do Sul;3904233
2024;Oriente Medio;165634
2024;Asia;17231
2024;Africa;14434
2023;Europa;49408572
2023;America do Norte;20705160
2023;America do Sul;2814058
2023;Oriente Medio;186136
2023;Asia;46969
2023;Africa;14075
2022;Europa;38050955
2022;America do Norte;10017905
2022;America do Sul;4285657
2022;Oriente Medio;136414
2022;Asia;31127
2022;Africa;10387
2021;Europa;57316402
2021;America do Norte;13931873
2021;America do Sul;5142541
2021;Oriente Medio;128796
2021;Asia;50940
2021;Africa;10634
2020;Europa;38765614
2020;America do Norte;7966427
2020;America do Sul;2169433
2020;Oriente Medio;255386
2020;Asia;32453
2020;Africa;10345
2019;Europa;37145000
2019;America do Norte;6142592
2019;America do Sul;1268530
2019;Oriente Medio;410119
2019;Asia;56772
2019;Africa;9427
2018;Europa;34961917
2018;America do Norte;2718949
2018;America do Sul;1724086
2018;Oriente Medio;381469
2018;Africa;21995
2018;Asia;4152
2017;Europa;38038078
2017;America do Sul;2976520
2017;America do Norte;1833639
2017;Oriente Medio;1645204
2016;Europa;27384711
2016;Oriente Medio;1648528
2016;America do Sul;1243198
2016;America do Norte;536740
2015;Europa;32072644
2015;Oriente Medio;1403149
2015;America do Norte;739650
2015;America do Sul;108040
2015;Africa;61200
