ano;semana;igpdi
2020;1;751.82
2020;2;751.82
2020;3;751.82
2020;4;751.82
2020;5;751.82
2020;6;751.91
2020;7;751.91
2020;8;751.91
2020;9;751.91
2020;10;764.276
2020;11;764.276
2020;12;764.276
2020;13;764.276
2020;14;764.656
2020;15;764.656
2020;16;764.656
2020;17;764.656
2020;18;764.656
2020;19;772.843
2020;20;772.843
2020;21;772.843
2020;22;772.843
2020;23;785.221
2020;24;785.221
2020;25;785.221
2020;26;785.221
2020;27;803.584
2020;28;803.584
2020;29;803.584
2020;30;803.584
2020;31;803.584
2020;32;834.713
2020;33;834.713
2020;34;834.713
2020;35;834.713
2020;36;862.259
2020;37;862.259
2020;38;862.259
2020;39;862.259
2020;40;893.997
2020;41;893.997
2020;42;893.997
2020;43;893.997
2020;44;893.997
2020;45;917.538
2020;46;917.538
2020;47;917.538
2020;48;917.538
2020;49;924.504
2020;50;924.504
2020;51;924.504
2020;52;924.504
2021;1;951.395
2021;2;951.395
2021;3;951.395
2021;4;951.395
2021;5;977.133
2021;6;977.133
2021;7;977.133
2021;8;977.133
2021;9;998.344
2021;10;998.344
2021;11;998.344
2021;12;998.344
2021;13;998.344
2021;14;1020.495
2021;15;1020.495
2021;16;1020.495
2021;17;1020.495
2021;18;1055.167
2021;19;1055.167
2021;20;1055.167
2021;21;1055.167
2021;22;1056.343
2021;23;1056.343
2021;24;1056.343
2021;25;1056.343
2021;26;1071.615
2021;27;1071.615
2021;28;1071.615
2021;29;1071.615
2021;30;1071.615
2021;31;1070.147
2021;32;1070.147
2021;33;1070.147
2021;34;1070.147
2021;35;1064.31
2021;36;1064.31
2021;37;1064.31
2021;38;1064.31
2021;39;1064.31
2021;40;1081.301
2021;41;1081.301
2021;42;1081.301
2021;43;1081.301
2021;44;1075.022
2021;45;1075.022
2021;46;1075.022
2021;47;1075.022
2021;48;1088.489
2021;49;1088.489
2021;50;1088.489
2021;51;1088.489
2021;52;1088.489
2022;1;1110.398
2022;2;1110.398
2022;3;1110.398
2022;4;1110.398
2022;5;1127.077
2022;6;1127.077
2022;7;1127.077
2022;8;1127.077
2022;9;1153.777
2022;10;1153.777
2022;11;1153.777
2022;12;1153.777
2022;13;1153.777
2022;14;1158.541
2022;15;1158.541
2022;16;1158.541
2022;17;1158.541
2022;18;1166.542
2022;19;1166.542
2022;20;1166.542
2022;21;1166.542
2022;22;1173.831
2022;23;1173.831
2022;24;1173.831
2022;25;1173.831
2022;26;1173.831
2022;27;1169.426
2022;28;1169.426
2022;29;1169.426
2022;30;1169.426
2022;31;1162.956
2022;32;1162.956
2022;33;1162.956
2022;34;1162.956
2022;35;1148.811
2022;36;1148.811
2022;37;1148.811
2022;38;1148.811
2022;39;1141.733
2022;40;1141.733
2022;41;1141.733
2022;42;1141.733
2022;43;1141.733
2022;44;1139.734
2022;45;1139.734
2022;46;1139.734
2022;47;1139.734
2022;48;1143.225
2022;49;1143.225
2022;50;1143.225
2022;51;1143.225
2022;52;1143.225
2023;1;1143.861
2023;2;1143.861
2023;3;1143.861
2023;4;1143.861
2023;5;1144.271
2023;6;1144.271
2023;7;1144.271
2023;8;1144.271
2023;9;1153.777
2023;10;1153.777
2023;11;1153.777
2023;12;1153.777
2023;13;1153.777
2023;14;1128.805
2023;15;1128.805
2023;16;1128.805
2023;17;1128.805
2023;18;1102.506
2023;19;1102.506
2023;20;1102.506
2023;21;1102.506
2023;22;1086.474
2023;23;1086.474
2023;24;1086.474
2023;25;1086.474
2023;26;1086.474
2023;27;1082.105
2023;28;1082.105
2023;29;1082.105
2023;30;1082.105
2023;31;1082.593
2023;32;1082.593
2023;33;1082.593
2023;34;1082.593
2023;35;1082.593
2023;36;1087.419
2023;37;1087.419
2023;38;1087.419
2023;39;1087.419
2023;40;1092.974
2023;41;1092.974
2023;42;1092.974
2023;43;1092.974
2023;44;1098.48
2023;45;1098.48
2023;46;1098.48
2023;47;1098.48
2023;48;1098.48
2023;49;1105.541
2023;50;1105.541
2023;51;1105.541
2023;52;1105.541
2024;1;1102.571
2024;2;1102.571
2024;3;1102.571
2024;4;1102.571
2024;5;1102.571
2024;6;1098.095
2024;7;1098.095
2024;8;1098.095
2024;9;1098.095
2024;10;1094.763
2024;11;1094.763
2024;12;1094.763
2024;13;1094.763
2024;14;1102.66
2024;15;1102.66
2024;16;1102.66
2024;17;1102.66
2024;18;1112.26
2024;19;1112.26
2024;20;1112.26
2024;21;1112.26
2024;22;1112.26
2024;23;1117.787
2024;24;1117.787
2024;25;1117.787
2024;26;1117.787
2024;27;1127.101
2024;28;1127.101
2024;29;1127.101
2024;30;1127.101
2024;31;1128.408
2024;32;1128.408
2024;33;1128.408
2024;34;1128.408
2024;35;1128.408
2024;36;1139.981
2024;37;1139.981
2024;38;1139.981
2024;39;1139.981
2024;40;1157.516
2024;41;1157.516
2024;42;1157.516
2024;43;1157.516
2024;44;1157.516
2024;45;1171.21
2024;46;1171.21
2024;47;1171.21
2024;48;1171.21
2024;49;1181.407
2024;50;1181.407
2024;51;1181.407
2024;52;1181.407
2025;1;1182.693
2025;2;1182.693
2025;3;1182.693
2025;4;1182.693
2025;5;1182.693
2025;6;1194.518
2025;7;1194.518
2025;8;1194.518
2025;9;1194.518
2025;10;1188.55
2025;11;1188.55
2025;12;1188.55
2025;13;1188.55
2025;14;1192.079
2025;15;1192.079
2025;16;1192.079
2025;17;1192.079
2025;18;1192.079
2025;19;1181.945
2025;20;1181.945
2025;21;1181.945
2025;22;1181.945
2025;23;1160.613
2025;24;1160.613
2025;25;1160.613
2025;26;1160.613
2025;27;1159.851
2025;28;1159.851
2025;29;1159.851
2025;30;1159.851
2025;31;1159.851
2025;32;1162.219
2025;33;1162.219
2025;34;1162.219
2025;35;1162.219
2025;36;1162.219
2025;37;1162.219
2025;38;1162.219
