mes;pe_manga
jan/12;0.0098
fev/12;0.0107
mar/12;0.0111
abr/12;0.013
mai/12;0.0132
jun/12;0.0121
jul/12;0.0128
ago/12;0.0131
set/12;0.0116
out/12;0.0117
nov/12;0.0116
dez/12;0.0114
jan/13;0.0108
fev/13;0.0095
mar/13;0.0091
abr/13;0.0118
mai/13;0.0133
jun/13;0.0146
jul/13;0.0155
ago/13;0.0153
set/13;0.0149
out/13;0.0145
nov/13;0.0124
dez/13;0.0114
jan/14;0.0114
fev/14;0.0115
mar/14;0.0122
abr/14;0.0131
mai/14;0.0137
jun/14;0.0135
jul/14;0.0125
ago/14;0.0119
set/14;0.0127
out/14;0.0142
nov/14;0.0129
dez/14;0.0115
jan/15;0.0109
fev/15;0.0109
mar/15;0.0113
abr/15;0.012
mai/15;0.0128
jun/15;0.0131
jul/15;0.012
ago/15;0.0124
set/15;0.0132
out/15;0.0139
nov/15;0.0131
dez/15;0.0127
jan/16;0.0123
fev/16;0.012
mar/16;0.0131
abr/16;0.014
mai/16;0.0157
jun/16;0.0184
jul/16;0.0182
ago/16;0.0142
set/16;0.0134
out/16;0.013
nov/16;0.0117
dez/16;0.0109
jan/17;0.01
fev/17;0.0102
mar/17;0.0108
abr/17;0.0128
mai/17;0.013
jun/17;0.014
jul/17;0.014
ago/17;0.015
set/17;0.0137
out/17;0.0123
nov/17;0.0113
dez/17;0.0115
jan/18;0.011
fev/18;0.0106
mar/18;0.011
abr/18;0.0113
mai/18;0.012
jun/18;0.0123
jul/18;0.0125
ago/18;0.0116
set/18;0.0124
out/18;0.0127
nov/18;0.0105
dez/18;0.0102
jan/19;0.0096
fev/19;0.0107
mar/19;0.0123
abr/19;0.0147
mai/19;0.0141
jun/19;0.0122
jul/19;0.0121
ago/19;0.0134
set/19;0.013
out/19;0.0121
nov/19;0.0113
dez/19;0.0104
jan/20;0.0472
fev/20;0.0486
mar/20;0.0521
abr/20;0.0581
mai/20;0.0565
jun/20;0.0694
jul/20;0.0788
ago/20;0.0754
set/20;0.0758
out/20;0.067
nov/20;0.0601
dez/20;0.0537
jan/21;0.048
fev/21;0.0547
mar/21;0.0632
abr/21;0.0805
mai/21;0.077
jun/21;0.0621
jul/21;0.0556
ago/21;0.0554
set/21;0.0535
out/21;0.0524
nov/21;0.0516
dez/21;0.0506
jan/22;0.0534
fev/22;0.0554
mar/22;0.0577
abr/22;0.0641
mai/22;0.0633
jun/22;0.0716
jul/22;0.0727
ago/22;0.0741
set/22;0.0721
out/22;0.0644
nov/22;0.0626
dez/22;0.058
jan/23;0.0513
fev/23;0.0543
mar/23;0.0594
abr/23;0.0761
mai/23;0.081
jun/23;0.0788
jul/23;0.0703
ago/23;0.0684
set/23;0.0706
out/23;0.0703
nov/23;0.0793
dez/23;0.0685
jan/24;0.0636
fev/24;0.0782
mar/24;0.0906
abr/24;0.0925
mai/24;0.0863
jun/24;0.0898
jul/24;0.1050
ago/24;0.1024
set/24;0.0940
out/24;0.0868
nov/24;0.0708
dez/24;0.0591
jan/25;0.0574
fev/25;0.0620
mar/25;0.0634
abr/25;0.0792
mai/25;0.0798
jun/25;0.0858
jul/25;0.0975
