meses;Contratados;Contratados_Agro;Proporcao;Variavel
jan/21;4798;1977;41;proporcao
fev/21;5396;2448;45;proporcao
mar/21;6212;3031;49;proporcao
abr/21;4858;2322;48;proporcao
mai/21;6419;2095;33;proporcao
jun/21;5908;2900;49;proporcao
jul/21;7135;3950;55;proporcao
ago/21;8879;5624;63;proporcao
set/21;8778;5674;65;proporcao
out/21;6375;2803;44;proporcao
nov/21;5458;1952;36;proporcao
dez/21;4865;1979;41;proporcao
jan/22;6681;2912;44;proporcao
fev/22;6473;2797;43;proporcao
mar/22;6467;2899;45;proporcao
abr/22;6124;2372;39;proporcao
mai/22;8160;2874;35;proporcao
jun/22;6775;3111;46;proporcao
jul/22;7260;3938;54;proporcao
ago/22;9038;5545;61;proporcao
set/22;8071;4824;60;proporcao
out/22;7126;3914;55;proporcao
nov/22;5766;2643;46;proporcao
dez/22;4387;1988;45;proporcao
jan/23;5735;2793;49;proporcao
fev/23;5709;2650;46;proporcao
mar/23;6900;3325;48;proporcao
abr/23;7457;3150;42;proporcao
mai/23;7317;3589;49;proporcao
jun/23;7178;3725;52;proporcao
jul/23;7186;3754;52;proporcao
ago/23;9765;6188;63;proporcao
set/23;8516;5094;60;proporcao
out/23;6514;3354;51;proporcao
nov/23;6030;2727;45;proporcao
dez/23;5147;2336;45;proporcao
jan/24;6424;3262;51;proporcao
fev/24;7183;3646;51;proporcao
mar/24;7762;4136;53;proporcao
abr/24;7336;3146;43;proporcao
mai/24;8102;3272;40;proporcao
jun/24;7652;3592;47;proporcao
jul/24;8729;4855;56;proporcao
ago/24;9503;5430;57;proporcao
set/24;9389;5377;57;proporcao
out/24;6971;3259;47;proporcao
nov/24;6585;2684;41;proporcao
dez/24;5704;2490;44;proporcao
jan/25;7224;3595;50;proporcao
fev/25;8344;3947;47;proporcao
mar/25;7241;3389;47;proporcao
abr/25;7920;3645;46;proporcao
