ano;mes;valor;quilo
2012;1;4777241;4100901
2012;2;4314762;3730955
2012;3;9126647;8158667
2012;4;9502553;7362076
2012;5;6410581;5331384
2012;6;5357623;4497859
2012;7;8228196;8067111
2012;8;10743564;12229455
2012;9;19431640;20499489
2012;10;21703966;20331241
2012;11;21243056;18110276
2012;12;16659692;14497855
2013;1;4443483;3543595
2013;2;4337305;3959935
2013;3;7867229;6851010
2013;4;5917390;4384002
2013;5;6464774;4211602
2013;6;5596271;3263082
2013;7;7046030;4933658
2013;8;9649440;10129071
2013;9;22338097;21120734
2013;10;31276030;26205965
2013;11;29331617;22816960
2013;12;13134199;10523148
2014;1;4343722;3527323
2014;2;4454685;3986135
2014;3;9211550;8464559
2014;4;8856149;7415136
2014;5;6860627;5505720
2014;6;7057136;5879095
2014;7;7185488;6295640
2014;8;9835394;9105082
2014;9;15256385;13157642
2014;10;33668929;28042638
2014;11;39852520;28951320
2014;12;17145147;12702950
2015;1;6932730;5765567
2015;2;7266925;6016055
2015;3;10496693;8817719
2015;4;8852204;7511221
2015;5;9357090;7461988
2015;6;6750231;5185311
2015;7;6628131;5396922
2015;8;14784334;13549442
2015;9;26338674;23156140
2015;10;39985287;33298159
2015;11;33006532;27627498
2015;12;13908716;12527854
2016;1;5542029;4498696
2016;2;6693117;5547944
2016;3;11929044;9389884
2016;4;7946606;5872909
2016;5;5291823;3047816
2016;6;8232118;5920962
2016;7;11649404;9309203
2016;8;17519474;14904422
2016;9;28670026;25483799
2016;10;34103460;29959877
2016;11;29430233;27247040
2016;12;12924841;13028501
2017;1;4460001;4403052
2017;2;7799917;7608737
2017;3;14255188;12439778
2017;4;11576264;9041023
2017;5;9876662;6976698
2017;6;6450489;4915811
2017;7;9516044;7334117
2017;8;17234439;15061685
2017;9;33828582;30794772
2017;10;36341562;34108116
2017;11;35418013;31230821
2017;12;18354045;15686564
2018;1;4594547;4007138
2018;2;7667255;6976732
2018;3;15712654;13731308
2018;4;10085035;8369143
2018;5;7811992;7560602
2018;6;7935692;7466940
2018;7;10477484;9209165
2018;8;9643175;8369091
2018;9;22087939;20213385
2018;10;33531837;34255017
2018;11;28743494;29256072
2018;12;20531154;21048802
2019;1;16760720;16365656
2019;2;8274860;7894169
2019;3;10281940;8170274
2019;4;15689098;13246048
2019;5;14078209;14469413
2019;6;8546203;8974305
2019;7;7373211;7283829
2019;8;15011655;14202406
2019;9;29564346;29738756
2019;10;38924408;39689535
2019;11;31744893;31314083
2019;12;25551642;24485184
2020;1;7877356;7035141
2020;2;7369150;7562994
2020;3;9779486;10457887
2020;4;9579111;10660335
2020;5;8534815;8808248
2020;6;10804971;9850380
2020;7;12814558;11945085
2020;8;22137168;20893299
2020;9;36713727;35301836
2020;10;40879858;41265233
2020;11;47960368;46884460
2020;12;32966198;32560986
2021;1;7463441;7635864
2021;2;7951956;7712455
2021;3;12059519;10637175
2021;4;19883068;18399633
2021;5;18007031;18079699
2021;6;15676837;17247324
2021;7;9476566;11128756
2021;8;19052950;21574332
2021;9;37468995;42150735
2021;10;37599949;42929079
2021;11;40143861;47494748
2021;12;23954512;27570367
2022;1;6152720;6841748
2022;2;8460459;9223311
2022;3;11141425;12262760
2022;4;15866851;17914451
2022;5;7682260;8056868
2022;6;11562365;12049866
2022;7;11890303;11933393
2022;8;13019332;13040464
2022;9;27636615;32243102
2022;10;28843084;34807044
2022;11;27212155;31421068
2022;12;36449379;41570351
2023;1;7331698;8549389
2023;2;7747469;8294721
2023;3;13637629;14453969
2023;4;9711445;9302289
2023;5;14116608;13434175
2023;6;16715829;16968007
2023;7;14531889;14181101
2023;8;21496751;20573066
2023;9;41854947;35531371
2023;10;58307419;46109485
2023;11;70887018;51494097
2023;12;38136096;27206775
2024;1;16415186;10976618
2024;2;22886205;13547030
2024;3;36147310;21039767
2024;4;26020120;16268994
2024;5;17482607;11947777
2024;6;10301407;6464641
2024;7;17571000;11228890
2024;8;30614302;19892001
2024;9;42492809;29700792
2024;10;61810642;49682562
2024;11;43527643;38712764
2024;12;25067990;28843329
2025;1;9570545;11145010
2025;2;9882191;10411055
2025;3;19521868;18079572
2025;4;28251657;24106638
2025;5;12845082;9893387
2025;6;19407288;14242643
2025;7;33532222;24081979
