Ano;Cultura;AreaPlantada_ha
2010;Banana (cacho);15426
2010;Coco-da-baía*;5760
2010;Goiaba;3242
2010;Limão;478
2010;Manga;23211
2010;Maracujá;2434
2010;Melancia;8263
2010;Melão;2035
2010;Uva;9645
2011;Banana (cacho);14005
2011;Coco-da-baía*;6213
2011;Goiaba;3491
2011;Limão;487
2011;Manga;22341
2011;Maracujá;2231
2011;Melancia;5925
2011;Melão;1837
2011;Uva;8952
2012;Banana (cacho);13722
2012;Coco-da-baía*;5875
2012;Goiaba;3323
2012;Limão;433
2012;Manga;22265
2012;Maracujá;1851
2012;Melancia;5906
2012;Melão;1652
2012;Uva;8663
2013;Banana (cacho);14322
2013;Coco-da-baía*;6352
2013;Goiaba;3218
2013;Limão;376
2013;Manga;20651
2013;Maracujá;1512
2013;Melancia;2995
2013;Melão;1608
2013;Uva;8525
2014;Banana (cacho);13791
2014;Coco-da-baía*;6220
2014;Goiaba;3795
2014;Limão;294
2014;Manga;19644
2014;Maracujá;1336
2014;Melancia;3447
2014;Melão;1771
2014;Uva;9044
2015;Banana (cacho);17948
2015;Coco-da-baía*;5912
2015;Goiaba;5060
2015;Limão;294
2015;Manga;15946
2015;Maracujá;1214
2015;Melancia;3272
2015;Melão;1681
2015;Uva;9061
2016;Banana (cacho);17136
2016;Coco-da-baía*;6097
2016;Goiaba;4813
2016;Limão;309
2016;Manga;17742
2016;Maracujá;1184
2016;Melancia;3605
2016;Melão;1683
2016;Uva;9221
2017;Banana (cacho);19711
2017;Coco-da-baía*;7424
2017;Goiaba;4921
2017;Limão;242
2017;Manga;23983
2017;Maracujá;1368
2017;Melancia;6857
2017;Melão;2460
2017;Uva;9859
2018;Banana (cacho);18910
2018;Coco-da-baía*;7611
2018;Goiaba;5924
2018;Limão;226
2018;Manga;26625
2018;Maracujá;1441
2018;Melancia;5814
2018;Melão;2388
2018;Uva;10068
2019;Banana (cacho);19196
2019;Coco-da-baía*;9029
2019;Goiaba;6214
2019;Limão;194
2019;Manga;27612
2019;Maracujá;1728
2019;Melancia;5869
2019;Melão;2209
2019;Uva;10092
2020;Banana (cacho);19217
2020;Coco-da-baía*;9471
2020;Goiaba;5946
2020;Limão;252
2020;Manga;32371
2020;Maracujá;1809
2020;Melancia;6111
2020;Melão;2588
2020;Uva;10113
2021;Banana (cacho);20692
2021;Coco-da-baía*;10253
2021;Goiaba;5721
2021;Limão;341
2021;Manga;34391
2021;Maracujá;1949
2021;Melancia;5570
2021;Melão;2554
2021;Uva;10646
2022;Banana (cacho);21460
2022;Coco-da-baía*;10319
2022;Goiaba;5564
2022;Limão;354
2022;Manga;36405
2022;Maracujá;1674
2022;Melancia;4665
2022;Melão;2522
2022;Uva;11114
2023;Banana (cacho);21562
2023;Coco-da-baía*;10781
2023;Goiaba;5874
2023;Limão;431
2023;Manga;37907
2023;Maracujá;1414
2023;Melancia;5067
2023;Melão;3285
2023;Uva;13797
2024;Banana (cacho);28669
2024;Coco-da-baía*;11775
2024;Goiaba;5847
2024;Limão;638
2024;Manga;44412
2024;Maracujá;1561
2024;Melancia;7205
2024;Melão;4433
2024;Uva;18058
