ano;Brasil;Peru
1980;135;164
1981;476;0
1982;722;0
1983;818;0
1984;972;22
1985;1484;22
1986;2928;73
1987;1247;114
1988;3161;187
1989;2011;1645
1990;1841;2287
1991;2883;1411
1992;6878;1182
1993;12553;991
1994;7092;568
1995;6786;1837
1996;4516;6816
1997;3705;4567
1998;4406;725
1999;8083;1462
2000;14362.92;2984.54
2001;20660;6522
2002;26357;11677
2003;37601;12748
2004;28815;11096
2005;51213;18977
2006;62251;27594
2007;79081;26095
2008;82242;43883
2009;54560;60524
2010;60799;74865
2011;59391;119815
2012;52016;148696
2013;43181;176048
2014;28347.95;266202.63
2015;34384.68;307987.15
2016;30813.17;285559.28
2017;44493.45;269661.75
2018;39818.21;343278.48
2019;45053.83;376048.89
2020;49227.89;415296.69
2021;76609.16;490049.5
2022;52561.04;526857.22
