Mes;Preço Palmer;Custo
Jan;R$4.31;0.76
Fev;R$4.35;1.03
Mar;R$3.38;0.93
Abr;R$2.76;1.23
Mai;R$3.80;1.15
Jun;R$4.56;1.18
Jul;R$3.16;1.32
Ago;R$2.32;1.06
Set;R$2.34;1.05
Out;R$1.17;1.01
Nov;R$0.48;1
Dez;R$0.64;1.24
Jan;R$0.98;0.98
Fev;R$1.77;0.99
Mar;R$2.28;1.09
Abr;R$2.85;1.05
Mai;R$2.19;1.3
Jun;R$1.32;0.91
Jul;R$1.59;1
Ago;R$2.07;1.21
Set;R$2.33;0.96
Out;R$3.41;0.96
Nov;R$2.77;1.06
Dez;R$3.27;0.89
Jan;R$2.63;1.16
Fev;R$2.27;1.07
Mar;R$1.52;1.27
Abr;R$1.76;1.34
Mai;R$1.61;1.38
Jun;R$2.31;1.3
