Mes;Preço Tommy;Custo
Jan;R$3.88;0.83
Fev;R$3.29;1.05
Mar;R$3.41;0.9
Abr;R$1.73;1.23
Mai;R$4.33;1.26
Jun;R$5.26;1.24
Jul;R$4.38;1.32
Ago;R$4.20;1.02
Set;R$1.66;1.15
Out;R$0.62;1.01
Nov;R$0.80;0.91
Dez;R$1.27;1.19
Jan;R$1.64;1.18
Fev;R$3.59;1.38
Mar;R$2.90;1.17
Abr;R$2.53;1.18
Mai;R$4.02;1.21
Jun;R$4.02;1.02
Jul;R$1.61;1.06
Ago;R$2.20;1.18
Set;R$2.38;1.17
Out;R$1.68;1.1
Nov;R$1.71;1.1
Dez;R$1.91;1.02
Jan;R$1.74;1.13
Fev;R$1.31;1.16
Mar;R$1.91;1.19
Abr;R$2.25;1.27
Mai;R$2.60;1.3
Jun;R$4.40;1.32
