Ano;Valor FOB (US$);Quilograma Liquido
2004;52755494;28815315
2005;106222380;50786586
2006;118512820;62281420
2007;169696455;79081307
2008;171426604;82227391
2009;110574457;54559684
2010;136347978;60689770
2011;135755138;59360543
2012;121890881;52015627
2013;102994687;43180556
2014;66765499;28335472
2015;72306951;34384683
2016;65255129;30813177
2017;96207298;44493441
2018;91842334;39841522
2019;93432566;45054129
2020;108992309;49228014
2021;159566923;76609389
2022;113920786;52561167
2023;184388889;73211843
2024;158759569;58857890
